algorithm,graph_id,nodes,edges,density,source,target,path_cost,runtime_ms,success,seed,hmcr,par,hms,iterations
dijkstra,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0211,True,,,,,
dijkstra,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0117,True,,,,,
bellman_ford,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0329,True,,,,,
bellman_ford,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0255,True,,,,,
astar,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.0148,True,,,,,
astar,v20_sparse_seed11,20,25,sparse,0,19,146.0,0.011,True,,,,,
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,5.7697,True,11000,0.8,0.3,30,80
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,5.4974,True,11001,0.8,0.3,30,80
harmony_search,v20_sparse_seed11,20,25,sparse,0,19,146,5.5556,True,11002,0.8,0.3,30,80
dijkstra,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0106,True,,,,,
dijkstra,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0075,True,,,,,
bellman_ford,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0277,True,,,,,
bellman_ford,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0238,True,,,,,
astar,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0086,True,,,,,
astar,v20_sparse_seed23,20,26,sparse,0,19,83.0,0.0073,True,,,,,
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,3.3236,True,23000,0.8,0.3,30,80
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,4.6721,True,23001,0.8,0.3,30,80
harmony_search,v20_sparse_seed23,20,26,sparse,0,19,83,4.2364,True,23002,0.8,0.3,30,80
dijkstra,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0171,True,,,,,
dijkstra,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.013,True,,,,,
bellman_ford,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0538,True,,,,,
bellman_ford,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0486,True,,,,,
astar,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.015,True,,,,,
astar,v20_moderate_seed11,20,41,moderate,0,19,129.0,0.0129,True,,,,,
harmony_search,v20_moderate_seed11,20,41,moderate,0,19,129,8.5213,True,11000,0.8,0.3,30,80
harmony_search,v20_moderate_seed11,20,41,moderate,0,19,129,8.297,True,11001,0.8,0.3,30,80
harmony_search,v20_moderate_seed11,20,41,moderate,0,19,129,10.9962,True,11002,0.8,0.3,30,80
dijkstra,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.0122,True,,,,,
dijkstra,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.0075,True,,,,,
bellman_ford,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.0383,True,,,,,
bellman_ford,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.0352,True,,,,,
astar,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.009,True,,,,,
astar,v20_moderate_seed23,20,39,moderate,0,19,60.0,0.0075,True,,,,,
harmony_search,v20_moderate_seed23,20,39,moderate,0,19,60,16.3852,True,23000,0.8,0.3,30,80
harmony_search,v20_moderate_seed23,20,39,moderate,0,19,60,13.829,True,23001,0.8,0.3,30,80
harmony_search,v20_moderate_seed23,20,39,moderate,0,19,60,17.1362,True,23002,0.8,0.3,30,80
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0226,True,,,,,
dijkstra,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0165,True,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.1229,True,,,,,
bellman_ford,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.1151,True,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0201,True,,,,,
astar,v50_sparse_seed11,50,86,sparse,0,49,116.0,0.0172,True,,,,,
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,14.3554,True,11000,0.8,0.3,30,80
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,15.839,True,11001,0.8,0.3,30,80
harmony_search,v50_sparse_seed11,50,86,sparse,0,49,116,14.2521,True,11002,0.8,0.3,30,80
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.031,True,,,,,
dijkstra,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.022,True,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.1353,True,,,,,
bellman_ford,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.1277,True,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0248,True,,,,,
astar,v50_sparse_seed23,50,98,sparse,0,49,106.0,0.0223,True,,,,,
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,144,15.3675,True,23000,0.8,0.3,30,80
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,144,17.6729,True,23001,0.8,0.3,30,80
harmony_search,v50_sparse_seed23,50,98,sparse,0,49,106,15.0758,True,23002,0.8,0.3,30,80
dijkstra,v50_moderate_seed11,50,178,moderate,0,49,93.0,0.0459,True,,,,,
dijkstra,v50_moderate_seed11,50,178,moderate,0,49,93.0,0.0397,True,,,,,
bellman_ford,v50_moderate_seed11,50,178,moderate,0,49,93.0,0.2336,True,,,,,
bellman_ford,v50_moderate_seed11,50,178,moderate,0,49,93.0,0.2251,True,,,,,
astar,v50_moderate_seed11,50,178,moderate,0,49,93.0,0.0452,True,,,,,
astar,v50_moderate_seed11,50,178,moderate,0,49,93.0,0.0427,True,,,,,
harmony_search,v50_moderate_seed11,50,178,moderate,0,49,122,33.2065,True,11000,0.8,0.3,30,80
harmony_search,v50_moderate_seed11,50,178,moderate,0,49,165,36.4087,True,11001,0.8,0.3,30,80
harmony_search,v50_moderate_seed11,50,178,moderate,0,49,132,36.7836,True,11002,0.8,0.3,30,80
dijkstra,v50_moderate_seed23,50,193,moderate,0,49,24.0,0.0353,True,,,,,
dijkstra,v50_moderate_seed23,50,193,moderate,0,49,24.0,0.0238,True,,,,,
bellman_ford,v50_moderate_seed23,50,193,moderate,0,49,24.0,0.25,True,,,,,
bellman_ford,v50_moderate_seed23,50,193,moderate,0,49,24.0,0.2413,True,,,,,
astar,v50_moderate_seed23,50,193,moderate,0,49,24.0,0.027,True,,,,,
astar,v50_moderate_seed23,50,193,moderate,0,49,24.0,0.0248,True,,,,,
harmony_search,v50_moderate_seed23,50,193,moderate,0,49,24,30.5211,True,23000,0.8,0.3,30,80
harmony_search,v50_moderate_seed23,50,193,moderate,0,49,24,22.3386,True,23001,0.8,0.3,30,80
harmony_search,v50_moderate_seed23,50,193,moderate,0,49,39,23.718,True,23002,0.8,0.3,30,80
